subject,subj_raw,hand,date,run,ts,src_dir,fname
fgw0917,fgw-0917,left,20260503,2,20260503_172136,fgw0917_0503_left,fgw-0917__20260503-left-2__20260503_172136.npz
fgw0917,fgw-0917,left,20260503,2,20260503_172353,fgw0917_0503_left,fgw-0917__20260503-left-2__20260503_172353.npz
fgw0917,fgw-0917,left,20260503,2,20260503_172610,fgw0917_0503_left,fgw-0917__20260503-left-2__20260503_172610.npz
fgw0917,fgw-0917,left,20260503,2,20260503_172825,fgw0917_0503_left,fgw-0917__20260503-left-2__20260503_172825.npz
fgw0917,fgw-0917,left,20260503,2,20260503_173040,fgw0917_0503_left,fgw-0917__20260503-left-2__20260503_173040.npz
fgw0917,fgw-0917,left,20260503,2,20260503_173256,fgw0917_0503_left,fgw-0917__20260503-left-2__20260503_173256.npz
fgw0917,fgw-0917,left,20260503,2,20260503_173519,fgw0917_0503_left,fgw-0917__20260503-left-2__20260503_173519.npz
fgw0917,fgw-0917,left,20260503,2,20260503_173734,fgw0917_0503_left,fgw-0917__20260503-left-2__20260503_173734.npz
fgw0917,fgw-0917,left,20260503,3,20260503_180816,fgw0917_0503_left,fgw-0917__20260503-left-3__20260503_180816.npz
fgw0917,fgw-0917,left,20260503,3,20260503_181033,fgw0917_0503_left,fgw-0917__20260503-left-3__20260503_181033.npz
fgw0917,fgw-0917,left,20260503,3,20260503_181248,fgw0917_0503_left,fgw-0917__20260503-left-3__20260503_181248.npz
fgw0917,fgw-0917,left,20260503,3,20260503_181502,fgw0917_0503_left,fgw-0917__20260503-left-3__20260503_181502.npz
fgw0917,fgw-0917,left,20260503,3,20260503_181716,fgw0917_0503_left,fgw-0917__20260503-left-3__20260503_181716.npz
fgw0917,fgw-0917,left,20260503,3,20260503_181930,fgw0917_0503_left,fgw-0917__20260503-left-3__20260503_181930.npz
fgw0917,fgw-0917,left,20260503,3,20260503_182144,fgw0917_0503_left,fgw-0917__20260503-left-3__20260503_182144.npz
fgw0917,fgw-0917,left,20260503,3,20260503_182358,fgw0917_0503_left,fgw-0917__20260503-left-3__20260503_182358.npz
fgw0917,fgw-0917,left,20260503,3,20260503_182612,fgw0917_0503_left,fgw-0917__20260503-left-3__20260503_182612.npz
fgw0917,fgw-0917,left,20260503,3,20260503_182826,fgw0917_0503_left,fgw-0917__20260503-left-3__20260503_182826.npz
fgw0917,fgw-0917,left,20260503,,20260503_161424,fgw0917_0503_left,fgw-0917__20260503-left__20260503_161424.npz
fgw0917,fgw-0917,left,20260503,,20260503_161707,fgw0917_0503_left,fgw-0917__20260503-left__20260503_161707.npz
fgw0917,fgw-0917,left,20260503,,20260503_161921,fgw0917_0503_left,fgw-0917__20260503-left__20260503_161921.npz
fgw0917,fgw-0917,left,20260503,,20260503_162143,fgw0917_0503_left,fgw-0917__20260503-left__20260503_162143.npz
fgw0917,fgw-0917,left,20260503,,20260503_162359,fgw0917_0503_left,fgw-0917__20260503-left__20260503_162359.npz
fgw0917,fgw-0917,left,20260503,,20260503_162616,fgw0917_0503_left,fgw-0917__20260503-left__20260503_162616.npz
fgw0917,fgw-0917,left,20260503,,20260503_162833,fgw0917_0503_left,fgw-0917__20260503-left__20260503_162833.npz
fgw0917,fgw-0917,left,20260503,,20260503_163123,fgw0917_0503_left,fgw-0917__20260503-left__20260503_163123.npz
fgw0917,fgw-0917,left,20260503,,20260503_163449,fgw0917_0503_left,fgw-0917__20260503-left__20260503_163449.npz
fgw0917,fgw-0917,left,20260503,,20260503_163828,fgw0917_0503_left,fgw-0917__20260503-left__20260503_163828.npz
fgw0917,fgw-0917,right,20260504,2_v33,20260504_103841,fgw0917_0504_right,fgw-0917__20260504-right-2_v33__20260504_103841.npz
fgw0917,fgw-0917,right,20260504,2_v33,20260504_104100,fgw0917_0504_right,fgw-0917__20260504-right-2_v33__20260504_104100.npz
